Input1,Input2,Output
3,2.7,15.2
3.1,2.3,12.8
3.2,0.4,2.4
4,21.3,119.6
4.1,4,22.5
4.3,3.1,17.4
4.4,6.9,38.9
4.5,7.2,40.7
5,4.8,26.8
5.1,1.4,7.7
5.2,0.4,2
5.3,1.1,6
5.4,0.2,1.4
5.5,0.6,3.1
5.6,1.2,6.6
6,5.5,31
6.1,1.6,9.2
6.2,3.4,19.4
6.3,0.4,2.4
7,13.2,74.1
7.1,3.2,17.8
7.2,8.1,45.6
7.3,1.9,10.7
8,6,33.9
8.1,0.2,1.4
8.2,0.1,0.6
8.3,5.7,31.9
9,9.8,55.1
9.1,1,5.4
9.2,0.2,1.1
9.3,2,11.5
9.4,2.6,14.5
9.5,2.1,11.8
9.6,0.5,3
10,0.2,0.9
10.1,0,0
10.2,0.1,0.7
10.3,0,0.2
10.4,0,0
11,11.2,62.9
11.1,2.2,12.1
11.3,0.2,1.4
11.4,7.6,42.7
11.5,0.3,1.6
11.6,0.9,5
13,1.5,8.2
13.1,1.5,8.2
04.1.01,4,22.5
04.4.03,6.2,35.1
04.5.01,6.6,36.9
07.2.02,4.1,22.8
1,19.9,207.1
1.1,3.3,34
1.2,3.1,32
1.3,7.3,75.6
1.4,1.9,19.9
1.5,4.4,45.6
2,6.3,65.1
2.1,3.8,39.1
2.2,2.5,26
3,3.2,33
3.1,2.6,27.1
3.2,0.6,5.9
4,23.1,240.6
4.1,11.4,119.1
4.3,1.5,15.2
4.4,4.7,48.6
4.5,5.5,57.7
5,3.9,41.1
5.1,0.9,9.5
5.2,0.4,3.9
5.3,0.8,8.7
5.4,0.3,3.3
5.5,0.6,5.8
5.6,1,9.9
6,3.1,32.3
6.1,1.2,12
6.2,1.8,18.9
6.3,0.1,1.3
7,12.4,128.6
7.1,3.1,32.2
7.2,6.7,70.1
7.3,2.5,26.3
8,3.6,37.9
8.1,0.1,1.2
8.2,0.4,4.4
8.3,3.1,32.3
9,8.1,84.4
9.1,0.9,9.6
9.2,0.2,1.9
9.3,2.1,21.5
9.4,2.6,26.6
9.5,1.1,11.2
9.6,1.3,13.5
10,1.3,13.2
10.1,0.3,3
10.2,0.4,3.7
10.3,0.6,6.3
10.4,0,0.3
11,9.2,95.5
11.1,2.3,23.5
11.3,0.4,4.4
11.4,5.6,58
11.5,0.3,2.6
11.6,0.7,7
13,6,62.5
13.1,6,62.5
04.1.01,11.4,119.1
04.4.03,4.1,42.6
04.5.01,5,51.9
07.2.02,4.2,44.2
1,18.6,107.4
1.1,2.9,16.5
1.2,3,17.2
1.3,7.7,44.2
1.4,2.3,13.3
1.5,2.8,16.2
2,6.2,36
2.1,2.1,12.3
2.2,4.1,23.7
3,1.1,6.5
3.1,1.1,6.1
3.2,0.1,0.4
4,43.5,251
4.1,32.7,188.2
4.3,0.8,4.9
4.4,2.2,12.8
4.5,7.8,45
5,2,11.3
5.1,0.3,2
5.2,0.1,0.4
5.3,0.5,3
5.4,0.1,0.5
5.5,0.2,1.3
5.6,0.7,4.2
6,1.9,11.1
6.1,0.6,3.6
6.2,1.3,7.5
6.3,0,0
7,9.3,53.5
7.1,2,11.4
7.2,6.1,35.4
7.3,1.2,6.7
8,4,23.2
8.1,0.1,0.7
8.2,0.1,0.6
8.3,3.8,21.9
9,4.2,24.3
9.1,0.8,4.4
9.2,0.1,0.3
9.3,1.4,8
9.4,1.3,7.5
9.5,0.4,2.5
9.6,0.3,1.6
10,0.8,4.8
10.1,0.1,0.5
10.2,0.2,1.1
10.3,0.5,2.7
10.4,0.1,0.5
11,5.1,29.6
11.1,1.8,10.1
11.3,0.1,0.5
11.4,2.6,15.1
11.5,0.4,2.2
11.6,0.3,1.7
13,3.1,17.7
13.1,3.1,17.7
04.1.01,32.7,188.2
04.4.03,1.9,11.1
04.5.01,7.3,42.2
07.2.02,4.3,24.5
1,21.3,109.5
1.1,3.9,19.8
1.2,3.6,18.7
1.3,8.8,45.4
1.4,2,10.4
1.5,2.9,15.1
2,4.7,24.4
2.1,2.5,12.7
2.2,2.3,11.7
3,1.6,8.3
3.1,1.3,6.7
3.2,0.3,1.6
4,33.2,170.5
4.1,17.5,89.7
4.3,1.4,7
4.4,5.8,29.9
4.5,8.5,43.9
5,3.8,19.3
5.1,0.8,3.9
5.2,0.3,1.7
5.3,1.1,5.4
5.4,0.1,0.7
5.5,0.6,2.9
5.6,0.9,4.6
6,2.9,14.8
6.1,1.2,5.9
6.2,1.7,8.9
6.3,0,0
7,10.2,52.6
7.1,2,10.5
7.2,6.3,32.3
7.3,1.9,9.8
8,4.6,23.6
8.1,0.1,0.4
8.2,0.2,0.9
8.3,4.4,22.3
9,6.1,31.5
9.1,0.7,3.4
9.2,0,0.1
9.3,1.7,8.7
9.4,1.9,9.9
9.5,1.2,6.2
9.6,0.6,3.2
10,1,5.3
10.1,0.1,0.4
10.2,0.2,1
10.3,0.7,3.5
10.4,0.1,0.3
11,7.7,39.5
11.1,2.1,10.8
11.3,0.2,1
11.4,4.6,23.6
11.5,0.3,1.4
11.6,0.5,2.7
13,2.8,14.3
13.1,2.8,14.3
04.1.01,17.5,89.7
04.4.03,5.3,27.4
04.5.01,7.9,40.3
07.2.02,4.1,21
1,20.4,170.9
1.1,3.5,29.2
1.2,3.3,27.4
1.3,8.1,67.8
1.4,2.1,17.2
1.5,3.5,29.3
2,5.6,47
2.1,2.8,23.5
2.2,2.8,23.5
3,2.4,20.4
3.1,2.1,17.5
3.2,0.3,2.8
4,27.7,232.2
4.1,16.1,134.9
4.3,1.2,9.9
4.4,4.6,38.3
4.5,5.9,49.1
5,3.4,28.5
5.1,0.8,7
5.2,0.2,1.9
5.3,0.8,6.5
5.4,0.3,2.2
5.5,0.5,3.8
5.6,0.8,7.1
6,2.9,24.4
6.1,1,8.8
6.2,1.7,14.4
6.3,0.1,1.2
7,11.5,96.4
7.1,2.9,24.5
7.2,6.7,56.1
7.3,1.9,15.8
8,4.1,34.2
8.1,0.2,1.3
8.2,0.5,4
8.3,3.5,29
9,7.8,65.2
9.1,0.9,7.8
9.2,0.3,2.7
9.3,2.3,19.3
9.4,2.3,19.7
9.5,1,8.2
9.6,0.9,7.6
10,1.3,11.1
10.1,0.2,2
10.2,0.3,2.8
10.3,0.7,6.3
10.4,0,0.1
11,7.9,66.5
11.1,2.1,17.9
11.3,0.3,2.2
11.4,4.9,41.4
11.5,0.2,1.9
11.6,0.4,3.1
13,4.9,40.7
13.1,4.9,40.7
04.1.01,16.1,134.9
04.4.03,4,33.2
04.5.01,5.3,44.6
07.2.02,4.5,37.5
1,19.9,221.1
1.1,3.2,35.7
1.2,3,33.6
1.3,7,78.3
1.4,1.8,20.3
1.5,4.8,53.1
2,6.6,73.3
2.1,3.6,39.7
2.2,3,33.6
3,3.3,36.5
3.1,2.8,30.8
3.2,0.5,5.8
4,22.6,252.1
4.1,12.3,136.5
4.3,1.2,13.6
4.4,4.2,47.1
4.5,4.9,54.9
5,3.9,43.5
5.1,0.9,10.2
5.2,0.4,4.9
5.3,0.7,8.3
5.4,0.3,3
5.5,0.6,6.4
5.6,1,10.8
6,2.9,32.4
6.1,1.1,11.7
6.2,1.8,19.9
6.3,0.1,0.8
7,13,144.2
7.1,3.4,37.7
7.2,6.9,77.2
7.3,2.6,29.2
8,3.4,37.9
8.1,0.1,0.9
8.2,0.4,5
8.3,2.9,32
9,7.7,85.2
9.1,1,11.4
9.2,0.2,2.3
9.3,1.9,21
9.4,2.6,28.9
9.5,1.1,11.7
9.6,0.9,10
10,1.6,17.8
10.1,0.5,6
10.2,0.4,4.2
10.3,0.6,7
10.4,0.1,0.6
11,9,100.5
11.1,2.1,23.2
11.3,0.6,6.5
11.4,5.3,59.3
11.5,0.3,3.4
11.6,0.7,8.1
13,6.2,69
13.1,6.2,69
04.1.01,12.3,136.5
04.4.03,3.5,39.5
04.5.01,4.4,49.1
07.2.02,4.7,51.9
1,19.5,255.4
1.1,2.9,38.4
1.2,2.8,36.1
1.3,6.7,87.9
1.4,1.9,25
1.5,5.2,67.9
2,7.3,95.1
2.1,4.4,57.6
2.2,2.9,37.5
3,3.9,51.5
3.1,3.1,40.2
3.2,0.9,11.4
4,17.6,229.3
4.1,7.4,96.8
4.3,1.2,16.2
4.4,4.4,57.2
4.5,4.5,59.1
5,4,52.4
5.1,1,13.4
5.2,0.4,4.8
5.3,0.8,10.6
5.4,0.3,4.4
5.5,0.5,7
5.6,0.9,12.3
6,3,39.5
6.1,1.3,16.5
6.2,1.6,20.8
6.3,0.2,2.2
7,13.8,179.8
7.1,3.5,45.8
7.2,7.4,96.6
7.3,2.9,37.3
8,3.2,41.6
8.1,0.1,1.6
8.2,0.5,7
8.3,2.5,33.1
9,8.4,109.3
9.1,1,13.4
9.2,0.1,1.9
9.3,2.1,27.2
9.4,2.7,34.8
9.5,1.1,13.9
9.6,1.4,17.9
10,1.1,13.9
10.1,0.3,3.5
10.2,0.3,4.6
10.3,0.4,5.6
10.4,0,0.3
11,10.3,134.3
11.1,2.4,31.6
11.3,0.6,7.5
11.4,6.2,81.3
11.5,0.2,3.1
11.6,0.8,10.9
13,8,104.2
13.1,8,104.2
04.1.01,7.4,96.8
04.4.03,3.8,49.8
04.5.01,4.1,53.1
07.2.02,4.4,57.1
1,18.3,319.7
1.1,2.8,49.1
1.2,2.7,46.5
1.3,5.6,97.8
1.4,1.7,30.2
1.5,5.5,96.1
2,7.1,123.1
2.1,5.5,96.5
2.2,1.5,26.6
3,4.6,79.6
3.1,3.8,66
3.2,0.8,13.6
4,14.4,251.3
4.1,3.9,68.7
4.3,2.3,40.3
4.4,4.3,75.8
4.5,3.8,66.5
5,4.7,81.2
5.1,1,17.6
5.2,0.5,8.8
5.3,0.8,14
5.4,0.6,10.2
5.5,0.6,11.3
5.6,1.1,19.2
6,3.8,65.6
6.1,1.3,21.9
6.2,2.3,39.4
6.3,0.2,4.3
7,13.3,232.2
7.1,3.6,62.6
7.2,6.3,110.7
7.3,3.4,58.9
8,2.9,50.6
8.1,0.1,2
8.2,0.5,8.8
8.3,2.3,39.8
9,10.6,184.6
9.1,1,17.3
9.2,0.2,3.8
9.3,2.4,41.3
9.4,3.3,56.7
9.5,1.1,18.7
9.6,2.7,46.8
10,1.3,23
10.1,0.3,5.1
10.2,0.5,8.8
10.3,0.5,9
10.4,0,0.1
11,10.9,190.6
11.1,2.5,44.5
11.3,0.5,8.7
11.4,6.8,118
11.5,0.2,3.9
11.6,0.9,15.5
13,8.2,143.3
13.1,8.2,143.3
04.1.01,3.9,68.7
04.4.03,3.8,65.9
04.5.01,3.3,57
07.2.02,3.7,63.8
1,22,85
1.1,4,15.4
1.2,3.8,14.7
1.3,9.1,35.2
1.4,2.1,8.2
1.5,3,11.5
2,5.4,21
2.1,2.4,9.4
2.2,3,11.5
3,1.6,6
3.1,1.3,5.1
3.2,0.2,1
4,35.5,137.4
4.1,18.2,70.2
4.3,0.7,2.9
4.4,7,27
4.5,9.7,37.4
5,2.8,10.8
5.1,0.4,1.6
5.2,0.2,0.7
5.3,0.8,3
5.4,0.1,0.4
5.5,0.5,2
5.6,0.8,3
6,2.3,8.7
6.1,0.8,3.1
6.2,1.4,5.4
6.3,0.1,0.3
7,9.3,35.8
7.1,1.2,4.5
7.2,6.4,24.6
7.3,1.7,6.7
8,5.3,20.4
8.1,0.1,0.3
8.2,0.3,1
8.3,4.9,19.1
9,5.6,21.8
9.1,0.7,2.9
9.2,0,0.1
9.3,1.4,5.3
9.4,2,7.7
9.5,1.3,4.9
9.6,0.2,0.8
10,0.5,1.8
10.1,0,0.1
10.2,0.2,0.8
10.3,0.2,0.8
10.4,0,0.1
11,7.9,30.7
11.1,2,7.7
11.3,0.2,0.7
11.4,5.2,20.1
11.5,0.3,1.1
11.6,0.3,1.1
13,1.9,7.4
13.1,1.9,7.4
04.1.01,18.2,70.2
04.4.03,6.3,24.5
04.5.01,8.9,34.5
07.2.02,4,15.6
1,21.3,155.4
1.1,3.7,27
1.2,3.2,23.7
1.3,8.5,62.1
1.4,2.1,15.3
1.5,3.7,27.3
2,6.6,48.1
2.1,3.3,23.9
2.2,3.3,24.2
3,2.6,18.9
3.1,2.2,15.8
3.2,0.4,3.1
4,27.5,200.4
4.1,15.5,113.1
4.3,1.1,7.9
4.4,4.7,34.3
4.5,6.2,45.1
5,4,28.9
5.1,0.8,5.8
5.2,0.4,2.6
5.3,0.9,6.8
5.4,0.3,2.4
5.5,0.6,4.2
5.6,1,7.2
6,3.1,22.4
6.1,1.2,8.6
6.2,1.8,12.9
6.3,0.1,0.9
7,11,80.5
7.1,2.1,15.5
7.2,7.2,52.5
7.3,1.7,12.5
8,3.6,26.4
8.1,0.1,1
8.2,0.2,1.8
8.3,3.2,23.6
9,6.9,50.5
9.1,0.9,6.5
9.2,0.1,0.6
9.3,2,14.3
9.4,2.3,16.7
9.5,1,7.2
9.6,0.7,5.2
10,0.9,6.4
10.1,0.3,1.8
10.2,0.4,2.7
10.3,0.2,1.7
10.4,0,0.1
11,8.4,61.2
11.1,2.3,16.5
11.3,0.3,2.4
11.4,5.1,37
11.5,0.2,1.8
11.6,0.5,3.5
13,4.2,30.7
13.1,4.2,30.7
04.1.01,15.5,113.1
04.4.03,4.1,30
04.5.01,5.6,41.1
07.2.02,4.8,35.3
1,20.6,217.3
1.1,3.3,34.4
1.2,3.2,34.2
1.3,7.4,77.5
1.4,1.9,20.3
1.5,4.8,50.9
2,6.5,68.9
2.1,3.7,38.6
2.2,2.9,30.3
3,3.1,33
3.1,2.5,26.8
3.2,0.6,6.2
4,21.8,229.6
4.1,11.7,123.6
4.3,1.2,12.2
4.4,4.2,43.7
4.5,4.8,50.2
5,3.6,37.8
5.1,0.9,9
5.2,0.3,3.5
5.3,0.8,8.2
5.4,0.3,2.7
5.5,0.5,5.2
5.6,0.9,9.3
6,2.7,28.7
6.1,1.1,11.4
6.2,1.6,17.2
6.3,0,0
7,13.3,140.3
7.1,3.6,38.2
7.2,7.6,80
7.3,2.1,22
8,3.3,34.7
8.1,0.1,1.2
8.2,0.4,4
8.3,2.8,29.4
9,7.8,82.7
9.1,0.9,9.9
9.2,0.2,2.2
9.3,2.2,23.1
9.4,2.6,27.2
9.5,0.9,9.7
9.6,1,10.6
10,1.6,17.3
10.1,0.3,2.8
10.2,0.3,2.7
10.3,1.1,11.3
10.4,0,0.5
11,9,94.3
11.1,2,21.2
11.3,0.5,5
11.4,5.5,58.3
11.5,0.2,2.2
11.6,0.7,7.6
13,6.6,69.1
13.1,6.6,69.1
04.1.01,11.7,123.6
04.4.03,3.5,37.2
04.5.01,4.3,45.1
07.2.02,5,52.4
1,19,265
1.1,2.9,40.8
1.2,2.8,39.2
1.3,6.2,86.3
1.4,1.9,26.7
1.5,5.2,72
2,7,98
2.1,4.9,67.9
2.2,2.2,30.1
3,3.6,49.9
3.1,3,41.4
3.2,0.6,8.5
4,16.8,234.1
4.1,7.6,105.4
4.3,1.3,18.2
4.4,4.1,56.5
4.5,3.9,54.1
5,4.2,59.1
5.1,1.1,15.4
5.2,0.5,7
5.3,0.9,12.3
5.4,0.4,5.1
5.5,0.5,7.2
5.6,0.9,12.1
6,3.4,47.8
6.1,1.3,18
6.2,2.1,29.2
6.3,0,0.7
7,13.2,183.6
7.1,3.1,42.8
7.2,7,98
7.3,3.1,42.8
8,3.3,46.4
8.1,0.1,1.4
8.2,0.6,8.4
8.3,2.6,36.6
9,9.8,136.9
9.1,1.2,16.1
9.2,0.4,5.1
9.3,2.6,36.6
9.4,2.8,38.5
9.5,1.2,17.2
9.6,1.7,23.4
10,1.3,18.1
10.1,0.4,5.6
10.2,0.3,4
10.3,0.6,8.3
10.4,0,0.2
11,10.5,145.8
11.1,2.5,35
11.3,0.7,9.2
11.4,6.1,84.7
11.5,0.3,3.6
11.6,1,13.3
13,7.9,109.9
13.1,7.9,109.9
04.1.01,7.6,105.4
04.4.03,3.4,47.9
04.5.01,3.4,46.9
07.2.02,4.2,59.2
1,16.5,367.2
1.1,2.5,54.5
1.2,2.2,49.9
1.3,5.1,114.3
1.4,1.5,32.9
1.5,5.2,115.6
2,5.7,126.3
2.1,4.5,100.8
2.2,1.1,25.5
3,5,110.9
3.1,4,89.7
3.2,1,21.3
4,13.9,309.4
4.1,4.2,94
4.3,3,67.4
4.4,3.5,77.1
4.5,3.2,70.9
5,5.1,114.3
5.1,1.4,30.3
5.2,0.5,11.1
5.3,0.8,18.4
5.4,0.5,11.9
5.5,0.7,15.2
5.6,1.2,27.4
6,4,89.2
6.1,1.4,31.7
6.2,2.2,48.8
6.3,0.4,8.8
7,15,332.9
7.1,5.5,121.3
7.2,5.5,121.9
7.3,4,89.7
8,2.7,59.3
8.1,0.1,2.9
8.2,0.6,14.1
8.3,1.9,42.4
9,10.3,228.8
9.1,0.9,19.9
9.2,0.2,5.3
9.3,2.2,48.5
9.4,3.1,69.9
9.5,1,21.5
9.6,2.9,63.8
10,2.1,46
10.1,0.5,10.3
10.2,0.6,14.3
10.3,0.9,20.4
10.4,0,1
11,10.1,225.1
11.1,2.5,55.4
11.3,0.5,11
11.4,6,133.1
11.5,0.3,5.9
11.6,0.9,19.7
13,9.5,210.4
13.1,9.5,210.4
04.1.01,4.2,94
04.4.03,3,67.2
04.5.01,2.7,60.3
07.2.02,3.2,69.9
1,19.2,187.5
1.1,2.7,26.9
1.2,3.2,31.6
1.3,7.2,70.5
1.4,2.2,21.1
1.5,3.8,37.4
2,7.8,76.1
2.1,3,29.4
2.2,4.8,46.7
3,2.6,25.5
3.1,2.3,22
3.2,0.4,3.5
4,27.5,269
4.1,16.8,164
4.3,0.9,8.7
4.4,3.4,33
4.5,6.5,63.3
5,3.7,36.3
5.1,0.9,8.7
5.2,0.3,2.9
5.3,1,9.4
5.4,0.2,2.4
5.5,0.5,5.1
5.6,0.8,7.8
6,2.2,21.8
6.1,0.7,7.1
6.2,1.5,14.6
6.3,0,0.1
7,11.5,112.8
7.1,2.7,26.9
7.2,7,68
7.3,1.8,17.9
8,3.9,38.3
8.1,0.1,0.6
8.2,0.4,4.2
8.3,3.4,33.6
9,6.9,67.6
9.1,0.9,9.2
9.2,0.1,1.4
9.3,1.9,18.7
9.4,2.4,23.2
9.5,0.7,6.7
9.6,0.8,8.2
10,0.9,9.1
10.1,0.3,2.9
10.2,0.2,2.4
10.3,0.4,3.5
10.4,0,0.4
11,7.8,76.5
11.1,2.1,20.3
11.3,0.4,3.9
11.4,4.5,43.7
11.5,0.3,2.8
11.6,0.6,5.8
13,5.9,57.6
13.1,5.9,57.6
04.1.01,16.8,164
04.4.03,2.9,27.9
04.5.01,6,58.8
07.2.02,4.3,41.8
1,20.5,119.8
1.1,4,23.5
1.2,3.3,19.2
1.3,8.4,49.1
1.4,1.6,9.5
1.5,3.2,18.5
2,5.1,29.8
2.1,3.8,22
2.2,1.3,7.8
3,3,17.5
3.1,2.5,14.5
3.2,0.5,3
4,22.9,133.8
4.1,5.1,29.9
4.3,2.1,12.6
4.4,8.2,48.1
4.5,7.4,43.3
5,5,29.4
5.1,1,5.9
5.2,0.6,3.2
5.3,1.2,7.2
5.4,0.3,1.8
5.5,0.7,4.3
5.6,1.2,7.1
6,4.9,28.9
6.1,1.7,10.1
6.2,3,17.7
6.3,0.2,1.1
7,12,70.1
7.1,3,17.5
7.2,6.3,36.9
7.3,2.7,15.6
8,4.6,27.1
8.1,0.2,1
8.2,0.4,2.1
8.3,4.1,24
9,9.5,55.3
9.1,0.8,4.9
9.2,0.3,1.7
9.3,2,11.6
9.4,2.9,16.8
9.5,2,11.5
9.6,1.5,8.8
10,0.2,0.9
10.1,0,0
10.2,0.1,0.3
10.3,0.1,0.5
10.4,0,0.1
11,11.1,64.9
11.1,2.4,13.8
11.3,0.4,2.1
11.4,7.6,44.2
11.5,0.2,1
11.6,0.6,3.8
13,1.2,7.2
13.1,1.2,7.2
04.1.01,5.1,29.9
04.4.03,7.6,44.7
04.5.01,6.7,39
07.2.02,3.7,21.9
