Input1,Input2,Output
5.1,1.6,17.7
5.2,0.4,4.2
5.3,1.4,15.6
5.4,0.2,2.6
5.5,0.5,6.1
5.6,0.8,8.6
6,4.5,51.3
6.1,1,11.3
6.2,3.2,36.2
6.3,0.3,3.9
7,15.2,171.9
7.1,3.3,36.9
7.2,8.6,97.6
7.3,3.3,37.3
8,3.3,37.1
8.1,0.1,1.4
8.2,0.3,3.3
8.3,2.9,32.4
9,9.5,107.6
9.1,1.9,21.9
9.2,0.2,2.4
9.3,2,23.1
9.4,2.5,28.4
9.5,1.2,14.1
9.6,0.6,7.3
10,1.1,12.8
10.1,0.3,3.1
10.2,0.2,1.8
10.3,0.7,7.6
10.4,0,0.3
11,8.8,99.1
11.1,2.1,23.6
11.3,0.5,6.1
11.4,4,45.4
11.5,0.5,5.6
11.6,1.6,18.5
13,10.9,123.6
13.1,10.9,123.6
04.1.01,6.6,74.8
04.4.03,2.3,25.7
04.5.01,3.1,35
07.2.02,5.1,57.9
1,15.1,258.6
1.1,2,35
1.2,2.5,43
1.3,5.1,86.3
1.4,1.6,26.8
1.5,4,67.5
2,5.7,96.6
2.1,4.4,74.4
2.2,1.3,22.1
3,4.6,78
3.1,3.6,62.2
3.2,0.9,15.8
4,11.8,201.2
4.1,3.3,57.1
4.3,2.8,48.4
4.4,2.3,39.2
4.5,3.3,56.4
5,5.9,101.2
5.1,2.2,37.7
5.2,0.7,11.1
5.3,1.2,20.7
5.4,0.4,7.2
5.5,0.5,8.8
5.6,0.9,15.7
6,4.2,71.6
6.1,0.9,15.2
6.2,2.9,49.1
6.3,0.4,7.3
7,15.9,271.3
7.1,4.5,76.3
7.2,8.1,138.8
7.3,3.3,56.2
8,2.8,47.6
8.1,0.2,3
8.2,0.2,3.9
8.3,2.4,40.7
9,9.9,169.2
9.1,1.8,30.7
9.2,0.4,6.5
9.3,2.3,38.5
9.4,2.4,41.1
9.5,1,17.4
9.6,0.8,14.4
10,1.9,32.6
10.1,0.2,3.9
10.2,0.7,11.8
10.3,1,16.4
10.4,0,0.5
11,9.9,169.7
11.1,2.5,42.9
11.3,0.6,10.6
11.4,4.6,77.9
11.5,0.5,8.6
11.6,1.7,29.7
13,12.3,210.2
13.1,12.3,210.2
04.1.01,3.3,57.1
04.4.03,2,33.7
04.5.01,2.8,48.2
07.2.02,4.7,79.7
1,17.7,120
1.1,2,13.7
1.2,3.5,23.9
1.3,7.2,48.8
1.4,1.7,11.7
1.5,3.2,21.9
2,8.3,56.2
2.1,4.3,28.9
2.2,4,27.4
3,2.6,17.7
3.1,2.2,14.8
3.2,0.4,2.8
4,25.7,174.3
4.1,16.3,110.6
4.3,1.4,9.1
4.4,2.4,16.2
4.5,5.7,38.4
5,4,27
5.1,1.3,8.9
5.2,0.3,2.3
5.3,1,6.8
5.4,0.3,1.8
5.5,0.4,2.5
5.6,0.7,4.7
6,2.6,17.3
6.1,0.8,5.1
6.2,1.6,11
6.3,0.2,1.2
7,12.6,85
7.1,1.4,9.4
7.2,9.7,65.6
7.3,1.5,10
8,3.8,25.6
8.1,0.1,0.4
8.2,0.2,1.6
8.3,3.5,23.7
9,6.6,44.5
9.1,1.5,10.1
9.2,0.2,1.5
9.3,1.5,10.4
9.4,1.9,12.7
9.5,0.9,6.4
9.6,0.2,1.4
10,1.2,8.3
10.1,0.3,1.7
10.2,0.5,3.5
10.3,0.4,2.8
10.4,0,0.2
11,7.7,52.2
11.1,1.9,12.7
11.3,0.3,2.1
11.4,2.7,18.1
11.5,0.7,4.5
11.6,2.2,14.9
13,7.2,49
13.1,7.2,49
04.1.01,16.3,110.6
04.4.03,2,13.7
04.5.01,4.8,32.3
07.2.02,6.4,43
1,19.2,79.1
1.1,3.5,14.3
1.2,3.6,14.9
1.3,8.8,36.3
1.4,1.4,5.7
1.5,1.9,8
2,4.3,17.8
2.1,3,12.6
2.2,1.3,5.2
3,3.4,14.2
3.1,2.7,11
3.2,0.8,3.2
4,20.4,84.3
4.1,3.6,14.8
4.3,2.9,11.8
4.4,6.6,27.1
4.5,7.4,30.6
5,5.4,22.2
5.1,1.5,6.1
5.2,0.5,2
5.3,1.3,5.5
5.4,0.2,0.7
5.5,0.7,2.7
5.6,1.3,5.2
6,7.6,31.2
6.1,1.7,7.1
6.2,4.8,19.6
6.3,1.1,4.5
7,13.1,54.2
7.1,2.5,10.3
7.2,8.2,34
7.3,2.4,9.9
8,3.9,15.9
8.1,0.3,1.3
8.2,0.1,0.3
8.3,3.5,14.3
9,9.3,38.3
9.1,1.1,4.4
9.2,0.4,1.8
9.3,2,8.1
9.4,2.1,8.6
9.5,2.3,9.5
9.6,0.6,2.3
10,0.2,1
10.1,0,0
10.2,0.2,0.9
10.3,0,0
10.4,0,0
11,12,49.5
11.1,2.1,8.7
11.3,0.3,1.1
11.4,5.8,24.1
11.5,0.3,1.4
11.6,3.4,14.1
13,1.3,5.4
13.1,1.3,5.4
04.1.01,3.6,14.8
04.4.03,6,24.8
04.5.01,6.6,27.5
07.2.02,4.6,19.2
1,19.2,170
1.1,2.7,23.5
1.2,3.2,28.2
1.3,7.8,69
1.4,2,18
1.5,3.5,31.3
2,6.4,56.3
2.1,4,35.7
2.2,2.3,20.6
3,3.2,28.4
3.1,2.6,23.1
3.2,0.6,5.4
4,21.6,190.8
4.1,10.7,94.4
4.3,1.9,16.7
4.4,3.5,31.1
4.5,5.5,48.6
5,4,35.1
5.1,1.1,10.1
5.2,0.3,3
5.3,0.9,7.5
5.4,0.2,2.2
5.5,0.6,4.9
5.6,0.8,7.3
6,4.2,37.1
6.1,1,8.8
6.2,2.9,25.9
6.3,0.3,2.4
7,13.5,119.2
7.1,2.2,19.2
7.2,9,79.4
7.3,2.3,20.6
8,4,35.4
8.1,0.2,1.5
8.2,0.2,1.4
8.3,3.7,32.5
9,8.2,72.2
9.1,1.4,12.3
9.2,0.1,1.1
9.3,1.9,17
9.4,2.3,20.7
9.5,1.2,10.5
9.6,0.4,3.5
10,1.2,10.4
10.1,0.3,2.6
10.2,0.3,2.5
10.3,0.6,5
10.4,0,0.3
11,7.9,69.6
11.1,2.2,19.1
11.3,0.4,3.5
11.4,4.1,36.1
11.5,0.5,4.4
11.6,0.7,6.5
13,6.7,59.5
13.1,6.7,59.5
04.1.01,10.7,94.4
04.4.03,3.1,27.1
04.5.01,4.9,43.1
07.2.02,5.3,47.2
1,19,100.6
1.1,2.4,12.9
1.2,3.4,18.1
1.3,8.6,45.5
1.4,2.3,12.1
1.5,2.3,12
2,6.8,36
2.1,2.3,12
2.2,4.5,24
3,1.7,8.9
3.1,1.2,6.5
3.2,0.5,2.5
4,37.5,198.5
4.1,27,143
4.3,0.5,2.8
4.4,2.3,12
4.5,7.7,40.6
5,2.6,13.8
5.1,0.5,2.7
5.2,0.1,0.7
5.3,0.7,3.9
5.4,0.1,0.4
5.5,0.4,2.2
5.6,0.7,3.7
6,3.2,17.2
6.1,0.8,4.5
6.2,2.2,11.8
6.3,0.2,0.9
7,9.9,52.4
7.1,1.2,6.2
7.2,7.5,39.9
7.3,1.2,6.3
8,3.9,20.8
8.1,0.1,0.6
8.2,0.2,1.3
8.3,3.6,18.8
9,4.7,24.6
9.1,1.1,6.1
9.2,0,0
9.3,1.4,7.4
9.4,1.3,7
9.5,0.6,3.2
9.6,0.1,0.5
10,1.6,8.5
10.1,0.2,1.1
10.2,0.2,1.1
10.3,1.2,6.3
10.4,0,0
11,4.9,26
11.1,2.1,10.9
11.3,0.1,0.7
11.4,2,10.8
11.5,0.5,2.9
11.6,0.1,0.7
13,4.2,22.1
13.1,4.2,22.1
04.1.01,27,143
04.4.03,1.9,10.3
04.5.01,6.9,36.4
07.2.02,5,26.7
1,20.5,95.1
1.1,3.1,14.2
1.2,3.5,16.4
1.3,9.5,43.9
1.4,2.1,9.7
1.5,2.3,10.8
2,6.1,28.3
2.1,2.7,12.6
2.2,3.4,15.7
3,2.1,9.7
3.1,1.7,7.7
3.2,0.4,2
4,29.8,138.7
4.1,16.3,75.5
4.3,1.4,6.6
4.4,4.4,20.4
4.5,7.8,36.1
5,3.1,14.6
5.1,0.8,3.6
5.2,0.2,1.1
5.3,0.5,2.4
5.4,0.2,0.8
5.5,0.5,2.5
5.6,0.9,4.2
6,4.2,19.4
6.1,1,4.7
6.2,3,13.7
6.3,0.2,1
7,10.9,50.7
7.1,0.8,3.9
7.2,8.7,40.2
7.3,1.4,6.6
8,4.7,21.7
8.1,0.1,0.6
8.2,0.1,0.3
8.3,4.5,20.8
9,6.2,28.7
9.1,1,4.4
9.2,0,0.1
9.3,1.5,7
9.4,2,9.2
9.5,1.1,5.3
9.6,0.3,1.2
10,1.2,5.8
10.1,0.2,0.7
10.2,0.3,1.3
10.3,0.8,3.8
10.4,0,0
11,6.1,28.5
11.1,1.9,8.8
11.3,0.1,0.7
11.4,3.1,14.5
11.5,0.5,2.2
11.6,0.5,2.4
13,5,23.3
13.1,5,23.3
04.1.01,16.3,75.5
04.4.03,4,18.4
04.5.01,7,32.6
07.2.02,5,23.1
1,20.2,132.6
1.1,3,19.8
1.2,3.3,21.8
1.3,8.7,57
1.4,2.1,13.6
1.5,3.1,20.4
2,6,39.1
2.1,3.3,21.4
2.2,2.7,17.7
3,2.6,16.9
3.1,2,13.1
3.2,0.6,3.8
4,25.2,165.1
4.1,13.8,90.4
4.3,1.6,10.7
4.4,3.7,24.2
4.5,6.1,39.8
5,3.5,22.9
5.1,0.6,4.2
5.2,0.3,1.8
5.3,1.1,7.1
5.4,0.2,1.3
5.5,0.5,3.2
5.6,0.8,5.3
6,4.1,26.9
6.1,1,6.3
6.2,2.8,18.2
6.3,0.4,2.4
7,13.5,88.7
7.1,2,13
7.2,9.7,63.4
7.3,1.9,12.3
8,4,26.1
8.1,0.2,1.2
8.2,0.2,1.5
8.3,3.6,23.4
9,7.6,49.6
9.1,1.1,7.2
9.2,0,0.1
9.3,1.8,11.9
9.4,2.4,15.8
9.5,1.3,8.8
9.6,0.2,1.6
10,1.1,7.1
10.1,0.1,1
10.2,0.3,1.8
10.3,0.6,4.3
10.4,0,0.1
11,7.1,46.4
11.1,2.2,14.5
11.3,0.4,2.9
11.4,3.7,24.1
11.5,0.5,3.3
11.6,0.2,1.6
13,5.3,34.4
13.1,5.3,34.4
04.1.01,13.8,90.4
04.4.03,3.2,21.2
04.5.01,5.4,35.5
07.2.02,5.9,38.6
1,19.8,187.6
1.1,2.5,24
1.2,3.2,30.6
1.3,8,75.6
1.4,2.3,22.2
1.5,3.7,35.1
2,6.5,61.9
2.1,4,38.1
2.2,2.5,23.8
3,3.2,30.6
3.1,2.6,24.6
3.2,0.6,6
4,20.5,194
4.1,10.4,98.4
4.3,1.6,15
4.4,3.2,30
4.5,5.3,50.5
5,4.2,40
5.1,1.4,12.9
5.2,0.3,3.1
5.3,1,9.4
5.4,0.2,1.8
5.5,0.5,4.8
5.6,0.8,8
6,3.4,31.8
6.1,0.9,8.5
6.2,2.3,22
6.3,0.1,1.3
7,13.6,129.2
7.1,2.3,22.3
7.2,9,85.5
7.3,2.3,21.4
8,4.1,38.9
8.1,0.2,1.6
8.2,0.2,1.5
8.3,3.8,35.8
9,8,75.7
9.1,1.6,15.3
9.2,0.1,1.1
9.3,1.8,16.8
9.4,2.3,21.8
9.5,1.2,11.4
9.6,0.3,3.1
10,1.1,10.1
10.1,0.3,3.2
10.2,0.2,2.1
10.3,0.5,4.6
10.4,0,0.1
11,8.2,77.8
11.1,2.2,20.7
11.3,0.4,4
11.4,4.1,39.1
11.5,0.5,4.9
11.6,1,9.2
13,7.4,70.3
13.1,7.4,70.3
04.1.01,10.4,98.4
04.4.03,2.6,24.8
04.5.01,4.7,44.3
07.2.02,5.7,54.4
1,18.2,194
1.1,2.3,24.8
1.2,3.1,33.2
1.3,6.9,73
1.4,2,21
1.5,3.9,42
2,6.9,73.2
2.1,4.9,52.3
2.2,2,20.9
3,3.5,37.2
3.1,3,31.5
3.2,0.5,5.7
4,17.4,185.9
4.1,8.3,88.7
4.3,1.5,16.2
4.4,3.2,34
4.5,4.4,47
5,4,42.1
5.1,1.4,14.4
5.2,0.4,4
5.3,0.7,7.8
5.4,0.3,3.1
5.5,0.5,5.2
5.6,0.7,7.7
6,4.6,48.7
6.1,1,10.8
6.2,3.1,33.3
6.3,0.4,4.6
7,14.8,157.6
7.1,3,31.6
7.2,9.3,98.6
7.3,2.6,27.4
8,3.8,40.7
8.1,0.2,1.6
8.2,0.2,1.9
8.3,3.5,37.2
9,8.6,91.4
9.1,1.6,17.1
9.2,0.1,1.2
9.3,2.2,23.6
9.4,2.4,25.9
9.5,1.1,11.9
9.6,0.4,4.7
10,1.3,13.4
10.1,0.6,6.1
10.2,0.2,2.6
10.3,0.4,3.8
10.4,0.1,0.9
11,8.9,94.3
11.1,2.4,25.2
11.3,0.5,5.8
11.4,4.6,48.6
11.5,0.5,4.9
11.6,0.9,9.8
13,8.2,87.2
13.1,8.2,87.2
04.1.01,8.3,88.7
04.4.03,2.8,29.4
04.5.01,3.9,41.7
07.2.02,5.6,59.4
1,17.4,240.1
1.1,2.3,32
1.2,2.7,37.8
1.3,6,83.3
1.4,1.7,23.9
1.5,4.6,63.2
2,6.4,88
2.1,5.3,72.8
2.2,1.1,15.2
3,4.7,64.7
3.1,3.8,52.8
3.2,0.9,12
4,15,206.4
4.1,4.6,64
4.3,3.3,45.4
4.4,3.1,43.3
4.5,3.9,53.6
5,5,69.2
5.1,1.6,21.8
5.2,0.5,7
5.3,0.9,12.9
5.4,0.4,5.3
5.5,0.8,10.5
5.6,0.9,11.7
6,4.8,66.2
6.1,1.1,15.2
6.2,3.5,47.8
6.3,0.2,3.1
7,14.6,200.9
7.1,2.7,37.6
7.2,8.3,114.4
7.3,3.6,48.9
8,3.4,47.4
