Input1,Input2,Input3,Input4,Input5,Input6,Input7,Output
Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Price/Sales,Price/Book,Price
72.93,2.049254,-0.65,61.315,42.265,2.0764177,2.16,53.24
18.64,3.8001595,4.1,89.7,72.63,2.960244,1.58,74.73
30.92,0.9712818,8.71,229.5,152.01,5.145596,5.14,208.73
16.45,2.0791416,-0.78,35.1,26.31,2.544682,1.71,28.45
30.69,1.0917627,6.09,199.88,150,0.61203885,7.24,178.61
24.64,2.860412,-0.63,21.175,14.24,2.0061796,1.37,19.96
21.45,3.862069,1.02,114.97,86.93,10.125291,3.54,103.81
15.12,1.275917,1.83,33.79,27.38,1.3324839,11.37,30.85
21.94,1.5102888,6.07,60.04,45.41,4.216355,4.27,50.47
16.83,2.5008683,8.23,194.18,143.8301,1.9406168,3.89,165.73
12.36,2.6899798,4.91,84,66.45,0.549852,2.13,70.55
16.32,1.0801469,2.73,53.32,29.3716,1.1931022,2.17,44.55
22.87,0.5879265,3.53,104.82,78.97,3.688278,2.65,92.16
22.72,2.6503997,3.81,100.11,71.7,1.5278828,5.89,91.33
20.55,0,4.3,80.71,52.51,1.1451397,2.79,71.91
23.14,1.4866204,6.64,171.96,106.72,2.3746448,5.31,153.66
10.37,2.2655525,4.94,60.79,43.81,0.91792434,2.67,51.23
22.65,0.60034305,1.99,68.98,52.535,4.626262,1.8,56.85
23.93,0.6528836,-6.89,47.25,28.7947,2.0660408,2.85,34.94
16.55,3.5710857,2.19,127.23,101.101,12.434961,2.32,98.96
12.13,1.8269607,5.41,81.93,57.5,2.3610325,2.52,72.4
11,0,1.96,30.25,15.99,1.804088,1.5,22.87
10.37,0,1.96,29.18,14.99,1.7147918,1.43,21.58
16.09,0,3.06,66.5,42.48,1.8521843,3.76,43.77
21.18,1.0625255,4.43,105.82,65.97,1.5283886,4.53,95.1
26.66,0,3.77,116.65,65.63,1.6097589,4.08,101.58
20.42,4.5281997,4.91,85.3,71.59,3.7954214,2.96,73.31
23.87,1.8815053,5.15,109.06,75.51,1.986176,3.59,96.2
49.43,2.1529746,1.59,77.08,64.01,2.6922395,1.54,68.21
26.57,1.9661016,4.54,126.65,83.23,4.2149186,9.99,116.93
19.12,3.5559585,4.82,116.74,96.56,1.9091922,1.95,98.49
16.7,4.7849464,3.12,91.8,72.93,2.9348857,1.27,74.32
19.77,3.1533308,0.88,30.14,24.73,16.077257,1.94,24.52
79.93,0.7493755,-0.89,102.95,67.76,1.9598055,2.26,91.92
22.14,0,2.15,56,32.25,5.689136,2.15,48.48
12.28,2.2630835,10.12,104.08,76.02,1.4904785,2.78,93.57
17.08,2.9404557,6.68,89.85,69.45,1.8161736,2.17,79.41
24.86,0,-1.07,46.99,31.89,4.6720185,3.8,41.02
28.08,1.2319711,4.14,140.5,119.61,3.7360687,5.28,127.76
13.23,4.0542803,3.96,83.38,58.76,2.161095,1.59,58.07
32.57,0,2.88,138.48,89.2,7.8283277,8.48,123.78
34.48,0,3.07,131.01,81.27,7.4415817,8.54,116.54
25.74,2.813225,2.35,74.45,56.77,3.6707752,5.01,66.4
10.65,4.892126,-3.26,87.95,69.63,1.5543115,1.54,72.02
10.91,0,-0.48,73,23.77,1.227099,0.64,35.34
246.44,0.63339007,-1.98,119,81.99,8.02302,4.55,101.04
53.16,0.2518363,-2.69,67.84,47.13,6.4987307,2.15,46.25
19.03,1.3265306,4.04,147.02,90.72,5.6338058,4.59,114
23.06,1.8775817,1.77,495.345,361.9,10.639136,5.14,409.98
17.6,3.5437918,1.63,70.455,56.07,8.593619,2.09,55.26
18.66,3.2138102,6.27,270.04,214.03,14.1830845,2.3,218.28
37.78,1.1283498,3.35,138.74,81.69,3.9522583,10.82,131.46
27.24,2.1078234,23.71,277.17,208.81,2.0991988,1.16,241.06
18.22,3.3397784,2.96,66.15,55.2,3.1134193,1.68,56.11
14.51,3.8174274,1.23,42.67,33.3,1.3933871,1.26,35.98
30.99,0.92785895,1.81,161,115.55,2.5074897,4.14,123.03
25.26,1.3520038,2.36,67.54,51.96,2.190319,5.55,60.36
10.72,0,5.39,83.485,55.8,0.57588416,2.65,73.35
18.12,3.879632,2.92,88.56,71.34,12.204818,4.54,77.56
21.37,4.0031195,1.88,89.3,76.05,1.7701944,1.85,76.07
21.21,0,6.51,149.5,114.63,4.1203604,6.86,137.25
27.9,0,5.39,195.32,132.44,13.241967,7.08,171.58
27.02,2.7798648,2.01,57.815,39.79,3.472977,7.39,52.15
18.35,3.5925992,3.5,143.79,109.74,12.898601,3.98,108.11
19.45,0.7963368,11.07,274.66,182.89,1.0751684,3.9,239.27
22.08,1.322724,1.72,103.65,77.63,4.7038417,3.25,92.74
16.9,1.9789734,2.85,33.91,23.2,2.8802848,1.46,31.1
11.18,4.673807,-14.49,35.22,27.93,1.2994481,2.19,30.64
27.32,0,4.14,144.2,106.2,6.518713,11.54,133.05
25.53,1.2396694,1.21,52.88,33.75,5.137961,3.52,46.46
26.17,1.8291216,1.12,51.92,37.51,2.0803037,3.15,40.82
19.9,1.4726508,1.99,62.09,37.0351,0.5516402,2.4,55.31
32.48,0.785995,1.56,98.7,56.53,6.0089035,5.26,80.87
9.5,2.5827951,4.91,77.86,28.42,1.0362948,,45.88
5.89,6.7843866,1.9,13.48,10.19,0.27054095,1.26,10.43
25.05,0.39057052,2.46,76.68,54.8844,5.1682673,7.17,69.14
20.27,1.2618296,3.04,73.62,55.25,1.8434572,3.76,62.44
12.67,2.332657,3,47.65,37.01,3.399101,1.83,38
14.67,1.1198208,1.24,20.25,11.05,1.6538345,3.66,17.16
15.35,2.8203557,1.69,35.68,21.02,1.1289738,3.93,31.17
21.23,3.2339885,2.69,64.96,48.5,5.319881,3.14,61.13
36.86,0,2.31,142.16,97.96,4.894499,13.47,114.26
20.71,1.5631542,9.55,229.54,181.94,2.0481362,5.45,206.05
13.76,3.147541,-0.72,30.59,14.71,1.0887611,1.7,14.45
13.86,4.005462,1.34,25.72,18.83,17.003777,2.57,21.62
17.53,3.5864594,2.77,63.73,49.65,2.0389178,7.26,53.99
6.58,3.5857513,6,46.76,31.92,0.5633218,1.33,40.75
21.17,2.7198548,4.6,107.75,79.86,1.212236,4.33,96.31
8.16,2.754954,9.95,89.54,63.759,5.2087464,4.12,78.22
27.86,0.037622273,1.58,113.26,76.47,5.775833,4.73,100.59
12.44,1.1668612,8.61,273.79,209.62,2.309415,1.25,246.35
9.92,1.6731402,4.74,37.2,28.81,0.72725976,1.65,30.75
22.57,1.9700643,10.02,298.145,155,1.3995146,8.1,258.6
38.86,1.4489837,-0.53,57.86,38.181,2.1424224,4.74,47.41
10.04,2.7322404,1.41,25.73,18.9,1.6339768,6.17,19.57
13.7,3.0218647,2.98,63.4,44.52,1.66195,4.31,47.54
26.38,1.4922442,4.43,160.67,104.16,2.9516637,5.88,149.84
14.34,1.7901897,2.27,59.2,46.35,1.3939538,1.15,53.34
20.57,2.2304833,4.34,116.2,87.92,3.2375681,5.82,96.48
14.07,1.4227642,5.94,106.84,71.18,0.7251921,,95.97
10.99,6.330197,1.33,33.67,22.8,8.127109,1.97,22.64
-54.51,4.1499925,-1.2,75.02,42.16,3.7385862,1.62,64.87
19.85,0,3.1,93.495,65.28,1.262194,3.74,70.85
-9.33,2.2670596,-19.94,55.48,37.25,3.780475,1.08,43
11.57,1.9280206,0.21,24.88,12.815,1.4609766,1.06,15.04
36.42,0.7315289,1.05,88.11,55.79,3.7628453,17.67,78.66
19.21,0,2.64,46.8,35.76,4.80335,4,38.8
28.1,1.8610487,6.46,207.605,136.82,2.8964398,84.08,181.22
20.68,1.9710299,2.08,165.13,119.31,2.8267899,5.71,146.02
20.39,2.2907758,1.57,38,29.75,2.5174792,3.49,32.21
11.23,4.1131105,1.02,21.53,17.26,3.5549128,2.02,18.75
12.07,2.6270628,1.49,24.1,15.39,0.8954903,0.66,19.92
22.39,0.6040015,4.06,293.35,189.01,0.9256895,3.33,262.37
15.41,2.8132992,1,16.53,12.14,3.5112102,1.72,15.1
18.75,1.2264713,12.15,253.44,183.42,1.8924941,6.04,225.37
53.57,0,2.94,198.73,140.63,7.97525,196.21,169.28
26.19,0,1,49.19,37.82,5.0604,2.24,43.73
23.62,1.9089574,4.86,179.07,126.52,3.9286149,10.99,156.15
52.25,0,4.92,248.97,158.0203,11.713953,10.89,209.54
-119.89,0,0.54,153.15,84.21,17.02699,10.25,83.92
19.38,1.9739007,5.07,97.67,77.26,1.6147361,3.34,87.6
12.32,2.6548672,1.98,50.85,33.23,3.348876,3.34,42.75
22.95,5.4298644,2.37,76.1378,56.8,9.619987,2.62,67
10.67,3.8999026,6.11,182.79,139.13,1.817167,7.7,147.59
15.57,3.206751,5.14,66.94,49.6,1.0738261,4.99,56.05
15.46,3.3802817,1.49,25.71,18.3,1.4712903,4.01,21.34
24.17,1.9341276,5.05,157.4,116.3,4.4208813,6.34,138
40.52,0.96720195,3.72,170.59,111.9,9.633731,33.5,152.75
48.58,0,5.67,452,233.10643,14.655261,9.48,381.87
11.87,3.466826,2.74,38.43,29.36,2.6513786,1.62,31.92
21.74,0,0.76,110.67,75.94,2.8477087,2.77,95.23
15.42,7.08258,0.46,41.53,32.05,3.2898626,4.97,32.07
30.62,0.8139042,6.19,126.49,83.35,1.7697402,8.55,114.81
19.45,0.9089532,2.43,72.18,49.31,1.2129636,2.01,62.82
15.35,2.6036885,5.1,143.68,99.565,2.496677,1.88,118.37
17.31,2.5566885,0.39,148.32,113.15,4.6326222,4.74,126.36
14,2.7659574,1.71,44.37,34.51,1.1415336,1.69,36.55
15.43,1.9845841,6.3,117.3529,81.635,3.3714993,1.6,107.88
14.09,1.5754234,0.78,30.96,23.87,1.8543326,1.78,24.66
19.8,1.3445379,9.16,114.85,81.54,4.281897,2.39,103.53
16.5,3.363962,1.95,76.69,58.76,2.3173764,11.5,65.98
14.66,1.9876952,1.12,22.22,16.28,3.270451,1.55,20.08
17.93,3.5599859,6.41,136.21,109.67,2.1947837,151.66,111.69
9.28,7.7134986,0.8,25.15,14.33,7.0508943,1.2,14.01
25.07,2.891845,0.01,22.75,16.56,2.823936,1.07,16.8
16.59,2.2988505,5.88,121.65,86.33,4.3395863,12.93,98.54
16.01,3.4965036,3.12,69.14,35.16,0.8557757,2.04,60.34
20.11,3.3990483,2.81,97.77,72.05,4.6780853,1.54,71.58
13.07,1.7301039,2.05,34.75,19.69,0.27961263,4.02,27.57
12.77,4.886988,3.98,63.1,35,1.7060977,1403.38,47.77
23.14,1.4444605,8.51,218.705,159.43,1.4884604,3.12,198.79
17.79,0,7.02,181.715,130.292,2.2459624,2.71,165.46
16.29,1.1652974,9.22,219.7,113.1982,3.0405293,4.52,162.23
17.88,3.1454785,2.76,54.97,42,2.0302901,4.89,43.99
15.35,0.26268265,3.38,72.17,43.647053,1.1468264,1.76,59.11
15.39,1.5993602,0.33,28.3,22.23,1.0410156,0.84,23.86
17.34,2.9327424,-0.2,89.09,75.71,3.754678,5.73,74.21
