Input1,Input2,Input3,Output
6480,19415,48658,1997.03
6705,19037,52745,1998.03
6840,18004,54811,1999.03
7312,20167,55537,2000.03
7571,20990,60819,2001.03
8097,22699,18958,2002.03
8832,24788,21994,2003.03
9551,27852,24232,2004.03
10245,31328,26187,2005.03
10788,33783,28598,2006.03
11561,34258,29370,2007.03
12229,37507,31823,2008.03
12225,34694,32797,2009.03
12372,30395,33914,2010.03
13985,31448,36976,2011.03
15944,34424,36503,2012.03
16408,36450,36276,2013.03
17117,40037,37363,2014.03
17989,44052,36705,2015.03
19194,47794,39455,2016.03
20910,51306,42227,2017.03
22056,55109,45539,2018.03
23026,58584,47904,2019.03
77,22,48796,1972.03
88,25,53475,1973.03
120,32,0,1974.03
142,40,0,1975.03
124,39,0,1976.03
147,38,0,1977.03
150,47,0,1978.03
166,50,0,1979.03
212,55,0,1980.03
231,69,0,1981.03
337,83,0,1982.03
362,87,0,1983.03
432,106,0,1984.03
604,111,0,1985.03
535,120,0,1986.03
570,145,0,1987.03
847,173,0,1988.03
507,190,0,1989.03
604,209,0,1990.03
556,181,0,1991.03
514,191,0,1992.03
553,159,0,1993.03
616,182,1403,1994.03
775,175,1787,1995.03
805,197,2198,1996.03
909,305,2597,1997.03
861,196,2919,1998.03
510,436,3462,1999.03
612,314,3710,2000.03
633,425,3404,2001.03
643,374,2994,2002.03
742,354,2851,2003.03
719,423,3809,2004.03
870,373,5600,2005.03
997,372,4706,2006.03
1668,498,5401,2007.03
1901,443,5358,2008.03
1850,440,6051,2009.03
1859,553,6557,2010.03
2008,666,7439,2011.03
1952,531,7897,2012.03
2074,502,9193,2013.03
2175,702,15550,2014.03
2280,704,16883,2015.03
2382,619,17912,2016.03
2650,543,19624,2017.03
2726,461,17585,2018.03
2727,594,19167,2019.03
10,161,19644,1972.03
14,194,19341,1973.03
23,221,21087,1974.03
19,271,24082,1975.03
19,361,22012,1976.03
27,365,24065,1977.03
23,418,26529,1978.03
24,466,29048,1979.03
28,514,25922,1980.03
37,593,31151,1981.03
55,703,28090,1982.03
51,748,29043,1983.03
62,734,34675,1984.03
81,802,36927,1985.03
103,1035,4236,1986.03
168,1341,4475,1987.03
210,1252,4437,1988.03
95,1375,5221,1989.03
87,1474,5102,1990.03
67,1581,5787,1991.03
74,1710,6179,1992.03
87,1590,6422,1993.03
93,1563,7036,1994.03
118,1760,8350,1995.03
107,1950,7125,1996.03
153,2202,7662,1997.03
118,3083,9003,1998.03
102,2601,9516,1999.03
-40,3296,9345,2000.03
0,2456,13099,2001.03
0,3156,10975,2002.03
0,3171,11394,2003.03
0,3827,14657,2004.03
0,4236,15975,2005.03
0,4212,11314,2006.03
0,4221,12408,2007.03
0,4397,13475,2008.03
0,5243,14402,2009.03
0,5486,12483,2010.03
0,5941,13380,2011.03
0,5155,13465,2012.03
0,4864,12919,2013.03
0,5898,14051,2014.03
0,6437,15732,2015.03
0,6743,14888,2016.03
0,6518,16402,2017.03
0,8298,17526,2018.03
0,8464,19532,2019.03
13559,77,16578,1972.03
15904,94,18052,1973.03
18635,84,17115,1974.03
21169,97,17649,1975.03
24945,123,20017,1976.03
30771,117,20951,1977.03
34177,125,208,1978.03
38299,156,191,1979.03
45448,174,189,1980.03
52717,204,243,1981.03
64408,233,253,1982.03
72809,250,226,1983.03
80380,269,261,1984.03
93506,279,279,1985.03
107784,324,300,1986.03
123093,318,285,1987.03
133711,335,240,1988.03
141537,419,229,1989.03
148891,441,248,1990.03
150721,355,239,1991.03
151398,392,272,1992.03
159275,444,330,1993.03
172067,451,358,1994.03
183259,523,328,1995.03
193101,614,345,1996.03
201872,669,369,1997.03
208069,899,72493,1998.03
212296,921,77470,1999.03
228344,991,82475,2000.03
248928,1116,89329,2001.03
265217,1426,92991,2002.03
275517,1341,99037,2003.03
289382,1505,105515,2004.03
311201,1494,110851,2005.03
330470,1952,116330,2006.03
345712,2155,127554,2007.03
378359,2292,127114,2008.03
385047,2575,129325,2009.03
382095,2603,135547,2010.03
400162,1936,140581,2011.03
419037,2216,142596,2012.03
427841,2896,154401,2013.03
456626,2728,159798,2014.03
469141,2917,168011,2015.03
483721,3064,179106,2016.03
515513,2934,192467,2017.03
553914,2958,201900,2018.03
6791,3317,2761,1972.03
