Input,Output
1996.06,532.1643922
1997.06,671.4540373
1998.06,692.7843084
1999.06,698.3277709
2000.06,758.5196328
2001.06,907.0258601
2002.06,881.1683158
2003.06,1124.480351
2004.06,1241.09999
2005.06,1164.421082
2006.06,1285.841764
2007.06,1322.45963
2008.06,1358.999388
2009.06,1257.679101
2010.06,1774.562356
2011.06,2104.477717
2012.06,2212.785639
2013.06,2572.781053
2014.06,2794.350899
2015.06,2713.547368
2016.06,2711.759494
2017.06,2662.563681
2018.06,2593.082175
2019.06,2936.125181
1989.06,377.4587563
1990.06,345.374762
1991.06,462.4813411
1992.06,488.4316306
1993.06,436.8141457
1994.06,534.9534224
1995.06,563.3571938
1996.06,495.8864411
1997.06,657.9106122
1998.06,652.2765501
1999.06,666.327206
2000.06,697.795513
2001.06,823.6672032
2002.06,889.8907754
2003.06,1125.794349
2004.06,1238.335538
2005.06,1021.617282
2006.06,1126.423087
2007.06,1243.1248
2008.06,1170.030629
2009.06,1198.229439
2010.06,1591.076546
2011.06,1763.574396
2012.06,1828.167236
2013.06,2146.85033
2014.06,2209.604837
2015.06,2217.323368
2016.06,2254.423652
2017.06,2206.122463
2018.06,2138.816217
2019.06,2348.42803
1982.06,275.0449706
1983.06,280.4771088
1984.06,300.1428242
1985.06,317.8832248
1986.06,369.5916793
1987.06,385.5442876
1988.06,376.330281
1989.06,375.0925787
1990.06,342.147142
1991.06,452.6321566
1992.06,479.2686117
1993.06,431.8107022
1994.06,530.7595056
1995.06,561.2413645
1996.06,501.5907115
1997.06,664.692104
1998.06,662.0394122
1999.06,677.3648713
2000.06,708.4163563
2001.06,826.704459
2002.06,891.7433677
2003.06,1110.39641
2004.06,1226.412257
2005.06,1130.655852
2006.06,1244.364648
2007.06,1419.446894
2008.06,1334.918184
2009.06,1324.033119
2010.06,1710.187421
2011.06,1872.615496
2012.06,1974.774612
2013.06,2267.451683
2014.06,2298.326143
2015.06,2341.017592
2016.06,2391.628481
2017.06,2408.651862
2018.06,2366.236581
2019.06,2613.63616
1963.06,559.0714683
1964.06,615.9345745
1965.06,636.0426875
1966.06,650.8765413
1967.06,683.1813785
1968.06,683.8406609
1969.06,691.0927672
1970.06,661.260239
1971.06,649.0635147
1972.06,631.2628901
1973.06,595.661641
1974.06,553.4675679
1975.06,553.6323885
1976.06,700.1579001
1977.06,726.6940164
1978.06,619.5606277
1979.06,656.6452622
1980.06,765.9213187
1981.06,674.775528
1982.06,659.2823918
1983.06,740.5389466
1984.06,624.8348868
1985.06,684.6647639
1986.06,677.0830164
1987.06,682.5220961
1988.06,671.9735778
1989.06,669.0068071
1990.06,649.5983576
1991.06,503.0497711
1992.06,626.6792293
1993.06,631.3634307
1994.06,712.1659048
1995.06,692.2580488
1996.06,717.5192778
1997.06,928.9775121
1998.06,945.0617363
1999.06,839.9374484
2000.06,989.7899973
2001.06,970.796999
2002.06,993.032574
2003.06,1073.928736
2004.06,1194.29294
2005.06,900.7922117
2006.06,1057.076015
2007.06,1260.471891
2008.06,1163.614646
2009.06,1227.417262
2010.06,1321.036386
2011.06,1298.060174
2012.06,1489.85203
2013.06,1582.256705
2014.06,1622.649351
2015.06,1594.233959
2016.06,1688.204928
2017.06,1584.655431
2018.06,1533.401609
2019.06,1574.524331
1963.06,313.6867911
1964.06,298.3711612
1965.06,319.288341
1966.06,328.2224584
1967.06,349.7777895
1968.06,334.6748766
1969.06,292.4859885
1970.06,300.5692377
1971.06,307.6598071
1972.06,294.6840651
1973.06,317.1611701
1974.06,231.9325257
1975.06,214.4188192
1976.06,271.0015632
1977.06,268.5907696
1978.06,242.1429457
1979.06,221.1548602
1980.06,240.7957375
1981.06,281.4247003
1982.06,283.6227768
1983.06,266.8181273
1984.06,336.660236
1985.06,301.5619174
1986.06,324.1808339
1987.06,350.2741293
1988.06,373.0348572
1989.06,315.1758107
1990.06,320.5404646
1991.06,358.274277
1992.06,371.8237879
1993.06,415.7021459
1994.06,470.9242805
1995.06,578.690158
1996.06,592.0821165
1997.06,819.4303054
1998.06,812.5980741
1999.06,839.0191243
2000.06,877.8912486
2001.06,918.0863659
2002.06,975.0622957
2003.06,982.5672246
2004.06,1050.922642
2005.06,963.754095
2006.06,973.4598357
2007.06,1102.499911
2008.06,985.282625
2009.06,947.5568443
2010.06,1007.131587
2011.06,902.7534225
2012.06,1000.529637
2013.06,1127.633222
2014.06,979.8741984
2015.06,1111.840688
2016.06,1271.721338
2017.06,1335.595596
2018.06,1241.296324
2019.06,1254.474728
1954.06,230.2816576
1955.06,197.8527533
1956.06,246.3139249
1957.06,239.0265307
1958.06,259.4312345
1959.06,257.6093859
1960.06,273.6416532
1961.06,237.6601442
1962.06,273.4594684
1963.06,260.7065285
1964.06,283.2063582
1965.06,302.2446756
1966.06,307.6191288
1967.06,332.8517313
1968.06,328.2060175
1969.06,324.7445053
1970.06,341.2322347
1971.06,335.4023193
1972.06,340.867865
1973.06,339.2282013
1974.06,343.2362681
1975.06,272.093082
1976.06,314.3599685
1977.06,360.9992915
1978.06,328.0238327
1979.06,319.7344217
1980.06,378.3979453
1981.06,364.0964341
1982.06,364.3697114
1983.06,384.8655076
1984.06,377.0315588
1985.06,392.2439943
1986.06,421.0292015
1987.06,435.9683597
1988.06,434.2376035
1989.06,420.0271848
1990.06,399.1123634
1991.06,435.5576239
1992.06,481.9806935
1993.06,467.1715243
1994.06,550.5650023
1995.06,586.2750558
1996.06,562.1182549
1997.06,747.4954447
1998.06,748.3045088
1999.06,740.8811852
2000.06,798.081896
2001.06,875.082794
2002.06,929.8150524
2003.06,1072.146833
2004.06,1179.493053
2005.06,1045.001683
2006.06,1143.637188
2007.06,1313.825776
2008.06,1223.807648
2009.06,1218.940257
2010.06,1469.056849
2011.06,1531.043372
2012.06,1657.917299
2013.06,1874.573981
2014.06,1879.027668
2015.06,1924.502193
2016.06,2013.228508
2017.06,2013.015562
2018.06,1959.431708
2019.06,2101.348461
1982.06,424.7063391
1983.06,424.9186923
1984.06,450.294896
1985.06,569.4250241
1986.06,568.1509051
1987.06,578.1315041
1988.06,524.2999756
1989.06,351.0197893
1990.06,446.051655
1991.06,527.1758746
1992.06,557.0822085
1993.06,533.139601
1994.06,614.614628
1995.06,626.6297827
1996.06,569.0096613
1997.06,659.2548743
1998.06,756.2777598
1999.06,827.6637295
2000.06,854.5128548
2001.06,893.4645927
2002.06,889.3672803
2003.06,1101.477587
2004.06,1019.634466
2005.06,704.7115833
2006.06,593.8319741
2007.06,778.9680779
2008.06,660.2445811
2009.06,645.4726888
2010.06,596.7299435
2011.06,564.5997609
2012.06,628.9735941
2013.06,704.2077131
2014.06,707.2004759
2015.06,843.5307723
2016.06,887.4754218
2017.06,795.133028
2018.06,775.6853355
2019.06,752.7881536
1982.06,375.2383832
1983.06,393.3436352
1984.06,389.3098225
1985.06,417.2650821
1986.06,442.8751017
1987.06,457.1341603
1988.06,448.6912967
1989.06,408.1655513
1990.06,407.1366477
1991.06,450.2080102
1992.06,494.5041509
1993.06,478.0717116
1994.06,561.1524916
1995.06,593.4049811
1996.06,564.1123719
1997.06,734.9689145
1998.06,750.4200442
1999.06,754.9839768
2000.06,807.5808515
2001.06,878.2690388
2002.06,922.476337
2003.06,1077.000044
2004.06,1155.715519
2005.06,991.071319
2006.06,1052.506254
2007.06,1226.507231
2008.06,1131.759614
2009.06,1125.520423
2010.06,1327.71935
2011.06,1373.716786
2012.06,1490.991963
2013.06,1683.955402
2014.06,1688.926765
2015.06,1750.438767
2016.06,1829.3452
2017.06,1816.989683
2018.06,1770.343968
2019.06,1888.59594
1982.06,239.2678659
1983.06,238.0117096
1984.06,317.568275
1985.06,320.2002215
1986.06,341.3156107
1987.06,340.5978071
1988.06,434.3908106
1989.06,417.6420599
1990.06,459.8511845
1991.06,461.8355526
1992.06,602.516803
1993.06,579.5399098
1994.06,708.0016307
1995.06,732.8584515
1996.06,777.4545123
1997.06,721.5788857
1998.06,764.9750366
1999.06,850.2516331
2000.06,882.0940503
2001.06,949.4939055
2002.06,928.478305
2003.06,943.0153636
2004.06,988.1655987
2005.06,1013.422815
2006.06,1034.035868
2007.06,1131.123554
2008.06,1113.667952
2009.06,964.5372365
2010.06,1002.719514
2011.06,994.4565601
2012.06,1008.955808
2013.06,1063.086492
2014.06,1114.362223
2015.06,1076.186425
2016.06,1045.229955
2017.06,1015.504869
2018.06,999.4590098
2019.06,1052.941291
1982.06,73.25267033
1983.06,69.60834998
1984.06,95.11859242
1985.06,111.3989984
1986.06,118.7059523
1987.06,126.3425431
1988.06,139.3082658
1989.06,132.0013119
1990.06,159.6555868
1991.06,178.597775
1992.06,188.1018695
1993.06,205.2620401
1994.06,197.2429604
1995.06,297.926961
1996.06,290.5018872
1997.06,283.73682
1998.06,317.3034651
1999.06,338.7730225
2000.06,365.8353982
2001.06,316.3436139
2002.06,353.7099694
2003.06,352.6268911
2004.06,443.915295
2005.06,381.4487839
2006.06,332.6501268
2007.06,337.0658038
2008.06,324.6647363
2009.06,368.3115667
2010.06,325.5599483
2011.06,383.5037995
2012.06,366.3707324
2013.06,441.2477205
2014.06,458.0007954
2015.06,449.9414982
2016.06,510.2393494
2017.06,513.1704281
2018.06,549.9761884
2019.06,602.3488727
1982.06,53.41420818
1983.06,63.42937221
1984.06,90.32342603
1985.06,115.5883465
1986.06,155.6890633
1987.06,183.5178658
1988.06,219.639224
1989.06,243.248304
1990.06,291.229032
1991.06,319.993144
1992.06,323.8243048
1993.06,292.3844615
1994.06,319.1417749
1995.06,371.6834086
1996.06,414.373486
1997.06,419.17764
1998.06,457.9134616
1999.06,453.9090486
2000.06,443.3315932
2001.06,480.4004103
2002.06,506.3891863
2003.06,477.7455629
2004.06,556.5238885
2005.06,578.3255712
2006.06,559.4278907
2007.06,574.7913901
2008.06,638.1150175
2009.06,624.9269155
2010.06,627.3783158
2011.06,645.1946234
2012.06,679.2250571
